"Value","Comments"
0,"Not used."
1,"Not used."
2,"
- Momentum:

  - unstable: Dyer (1974) :cite:`D74` modified by Högstrom (1988) :cite:`H88`
  - stable: Van Ulden and Holtslag (1985) :cite:`VUH85`
- Heat: Dyer (1974) :cite:`D74` modified by Högstrom (1988) :cite:`H88`

|NotRecmd|"
3,"
- Momentum: Campbell and Norman (Eq 7.27, Pg97) :cite:`CN88`

- Heat

  - unstable: Campbell and Norman :cite:`CN88`
  - stable: Campbell and Norman :cite:`CN88`

|Recmd|"
4,"
- Momentum: Businger et al. (1971) :cite:`B71` modified by Högstrom (1988) :cite:`H88`
- Heat: Businger et al. (1971) :cite:`B71` modified by Högstrom (1988) :cite:`H88`

|NotRecmd|"
