"Value","Comments"
1,"Values specified in `SUEWS_SiteSelect.txt` are used.

.. tip::
    Note that UMEP provides tools to calculate these. See :cite:t:`K17BLM` for recommendations on methods.
    :cite:t:`K17JWE` have developed a method to include vegetation which is also avaialble within UMEP."
2,"z0m and zd are calculated using 'rule of thumb' :cite:`GO99` using mean building and tree height specified in `SUEWS_SiteSelect.txt`.
z0m and zd are adjusted with time to account for seasonal variation in porosity of deciduous trees."
3,"z0m and zd are calculated based on the :cite:t:`M98` method using mean building and tree heights, plan area fraction and frontal areal index specified in `SUEWS_SiteSelect.txt`.
z0m and zd are adjusted with time to account for seasonal variation in porosity of deciduous trees."
