"Referencing Table","Requirement","Comment"
"`SUEWS_NonVeg.txt`","`O`","Limit of snow water equivalent when the surface is fully covered with snow. Not needed if `SnowUse` = 0 in `RunControl.nml` .

Example values:

- 190: Paved :cite:t:`J14`

- 190: Bldgs :cite:t:`J14`

- 190: BSoil :cite:t:`J14`
"
"`SUEWS_Veg.txt`","`O`","Limit of snow water equivalent when the surface is fully covered with snow. Not needed if `SnowUse` = 0 in `RunControl.nml` .

Example values:

- 190: EveTr :cite:t:`J14`

- 190: DecTr :cite:t:`J14`

- 190: Grass :cite:t:`J14`
"
