"Referencing Table","Requirement","Comment"
"`SUEWS_NonVeg.txt`","`MD`","
- Options:

  - 1: Falk and Niemczynowicz (1978) :cite:`FN78`

  - 2: Halldin et al. (1979) :cite:`H79` (Rutter eqn corrected for c=0, see Calder & Wright (1986) :cite:`CW86`)

  - 3: for `BSoil` Falk and Niemczynowicz (1978) :cite:`FN78`; for `Paved` and `Bldgs` Coefficients are specified in the following two columns. |Recmd|

"
"`SUEWS_Veg.txt`","`MD`","
- Options:

  - 1: Falk and Niemczynowicz (1978) :cite:`FN78`

  - 2: Halldin et al. (1979) :cite:`H79` (Rutter eqn corrected for c=0, see Calder & Wright (1986) :cite:`CW86` )

  - 3: for `EveTr`, `DecTr`, `Grass` (unirrigated) Falk and Niemczynowicz (1978) :cite:`FN78` Coefficients are specified in the following two columns. |Recmd|

  "
"`SUEWS_Water.txt`","`MD`","Not currently used for water surface."
